id,Name,openingTime
1055,Club LeConte,Mon 6:15 am - 11 am / Tues - Thurs 10 am - 6:15 pm / Fri 11:45 am - 8:45 pm / Sat 2 pm - 7:30 pm / Sun 6:30 am - 1:15 pm
1056,Terramae,"Mon, Thurs 1 pm - 9:15 pm / Tues 8 am - 3:15 pm / Weds 8:30 am - 5 pm / Fri 5 am - 5:45 pm / Sat 12:30 pm - 4:15 pm / Sun 11:30 am - 9 pm"
1057,Cafe 4,"Mon 2:15 pm - 12 pm / Tues 5:30 pm - 6:45 pm / Weds, Fri - Sat 11:15 am - 3 am / Thurs 3 pm - 12:45 pm / Sun 7:45 am - 11:15 am"
1058,Bistro 109,"Mon - Tues, Thurs 1 pm - 3 am / Weds 12:30 pm - 7:15 pm / Fri, Sun 10 am - 9 pm / Sat 11:45 am - 4:30 pm"
1059,Hennen's,"Mon 11:30 am - 8 pm / Tues, Thurs 11:15 am - 10:15 pm / Weds 8:30 am - 3:15 am / Fri - Sat 5:30 am - 8:45 pm / Sun 8:15 am - 9:30 am"
1060,The Orangery,Mon 4:15 pm - 6:15 pm / Tues 5:15 am - 1:45 pm / Weds 2 pm - 9:15 pm / Thurs 2 pm - 9 pm / Fri 11:15 am - 10:15 pm / Sat 7 am - 12:45 pm / Sun 2 pm - 3 pm
1061,Lago del Pino,"Mon - Weds, Sat 11:30 am - 3:30 pm / Thurs 5:15 pm - 9:30 pm / Fri 8 am - 10 pm / Sun 3:45 pm - 10:45 pm"
1062,Kiepersol Enterprises,"Sun - Mon 7:45 am - 10 pm / Tues, Thurs 11:45 am - 1:30 pm / Weds 7:45 am - 1:15 am / Fri 4:45 pm - 9 pm / Sat 8 am - 6 pm"
1063,Anson11,Mon 5 am - 10 pm / Tues 4:15 pm - 1:45 am / Weds 2 pm - 3:30 am / Thurs 10:15 am - 4 pm / Fri 5:45 am - 8:15 am / Sat 7:15 am - 4:30 pm / Sun 11 am - 2:15 pm
1064,Kona Grill - El Paso,"Mon - Tues 1:15 pm - 9 pm / Weds - Thurs, Sat 5 am - 7:15 pm / Fri 6 am - 7:45 pm / Sun 10 am - 11:45 am"
1065,Nuovo Cappetto,"Mon, Weds 8 am - 5:15 pm / Tues 3:45 pm - 1:30 am / Thurs 2:30 pm - 4:30 pm / Fri 12:15 pm - 2 am / Sat 2:15 pm - 6:15 pm / Sun 7 am - 6:45 pm"
1066,Café Central,Mon 2 pm - 2:45 am / Tues 5:15 am - 11:45 am / Weds 4:30 pm - 6 pm / Thurs 5 am - 6:30 pm / Fri 12:45 pm - 1 pm / Sat - Sun 10:30 am - 4:15 pm
1067,Geogeske,"Mon 1 pm - 2 am / Tues, Sun 4:45 pm - 8:30 pm / Weds - Thurs 3 pm - 2:45 am / Fri 8:15 am - 12:45 pm / Sat 11:45 am - 3:30 pm"
1068,Geske's Fire Grill,"Mon 9:45 am - 12 pm / Tues 3:30 pm - 7:30 pm / Weds 8 am - 10:30 pm / Thurs, Sat 5:30 am - 10:45 pm / Fri 8:30 am - 3:30 am / Sun 7:15 am - 2:30 am"
1069,The Pot Au Feu,"Mon - Tues 4:15 pm - 3 am / Weds, Sun 8 am - 11:45 pm / Thurs 10 am - 12:45 pm / Fri 1 pm - 8:15 pm / Sat 7:30 am - 6:30 pm"
1070,Cafe Grille,"Mon, Sat 2:45 pm - 8:45 pm / Tues - Weds 4:45 pm - 9:45 pm / Thurs 6 am - 5:30 pm / Fri, Sun 3 pm - 4:15 pm"
1071,MovieLounge,"Mon - Tues 8:30 am - 12:30 pm / Weds 1:30 pm - 10 pm / Thurs, Sat 2:30 pm - 11 pm / Fri 12:30 pm - 3:15 am / Sun 5:30 am - 11:15 am"
1072,Bordinos,"Mon, Weds, Fri 5 am - 6:15 pm / Tues, Sun 7:45 am - 12 pm / Thurs 3:45 pm - 5 pm / Sat 9:45 am - 12 pm"
1073,James at the Mill Restaurant,"Mon, Weds 1:45 pm - 4 pm / Tues 5:45 am - 11 am / Thurs, Sun 10:45 am - 12:45 pm / Fri 6:30 am - 10:45 am / Sat 5:30 am - 11:30 pm"
1074,Theo's Steak,Mon - Tues 7:30 am - 11:30 am / Weds 1:45 pm - 1:15 am / Thurs 6 am - 9:45 pm / Fri 7 am - 4:30 pm / Sat 1:45 pm - 4:30 pm / Sun 6:45 am - 11 pm
1075,Meiji Japan Cuisine,"Mon - Tues 4:30 pm - 2 am / Weds, Fri 2:45 pm - 1:15 am / Thurs 5 am - 10 am / Sat 11 am - 3:30 pm / Sun 11:45 am - 8 pm"
1076,Campagnia,"Mon 2 pm - 3:45 pm / Tues, Fri 7:30 am - 9:30 am / Weds, Sat 7:45 am - 6:30 pm / Thurs 1 pm - 1:15 am / Sun 5:30 am - 11:45 pm"
1077,Lime Lite,Mon 5:30 pm - 11:45 pm / Tues 11:30 am - 3:15 pm / Weds - Thurs 8:30 am - 11:30 pm / Fri 12 pm - 11:15 pm / Sat 2:30 pm - 5:15 pm / Sun 12:30 pm - 3:30 am
1078,J&R Tacos,"Mon, Thurs - Fri 11 am - 6:30 pm / Tues - Weds 8 am - 12:30 pm / Sat 8 am - 3:45 am / Sun 1:45 pm - 3:15 am"
1079,Cafe 225,"Mon 12 pm - 4 pm / Tues, Thurs 5 pm - 11:30 pm / Weds 7:45 am - 3:15 am / Fri 2:45 pm - 2:15 am / Sat 12:30 pm - 2:15 am / Sun 6:30 am - 3:30 pm"
1080,Verona Cucina Italiana,"Mon 9:15 am - 1:30 am / Tues, Thurs 10:15 am - 7:15 pm / Weds 1:15 pm - 11 pm / Fri 12:15 pm - 4:30 pm / Sat 9:45 am - 12:45 pm / Sun 4 pm - 9:45 pm"
1081,Cellar Door,"Mon, Thurs 11:45 am - 11:30 pm / Tues 6:30 am - 6:15 pm / Weds, Sat 1:15 pm - 10:30 pm / Fri 8:30 am - 9 am / Sun 11 am - 11:15 pm"
1082,Max's Bistro & Bar,"Mon 4 pm - 3 am / Tues, Thurs 5:15 pm - 10 pm / Weds 7 am - 11:30 pm / Fri - Sat 4:45 pm - 5:45 pm / Sun 1:45 pm - 10 pm"
1083,Five Restaurant,Mon - Weds 1 pm - 10:30 pm / Thurs 9:15 am - 9:15 pm / Fri 5:15 pm - 2 am / Sat 9:45 am - 6:30 pm / Sun 6:45 am - 9:30 am
1084,Bistro 234,Mon 12:15 pm - 1 pm / Tues 1:30 pm - 12 pm / Weds 3:45 pm - 7:45 pm / Thurs 1 pm - 2 pm / Fri 2:15 pm - 12:45 pm / Sat 5:15 pm - 2 am / Sun 6:15 am - 10:15 am
1085,The Beach Club Restaurant,"Mon 8:15 am - 3 am / Tues, Fri 4:15 pm - 2 am / Weds 3:15 pm - 4:30 pm / Thurs 5 am - 11:15 am / Sat 2:30 pm - 8:30 pm / Sun 11:45 am - 11:30 pm"
1086,Chief's Luau,"Mon, Thurs - Fri 4:45 pm - 3 am / Tues 6 am - 12 pm / Weds, Sat 7:15 am - 11:45 am / Sun 4:45 pm - 7 pm"
1087,Tommy Bahama's Restaurant & Bar - Wailea Maui,"Sun - Mon, Fri 5:45 pm - 1:45 am / Tues 9 am - 5:30 pm / Weds 11:45 am - 6 pm / Thurs, Sat 7 am - 12:45 pm"
1088,Restaurant Suntory,"Mon, Thurs, Sat 9:30 am - 1:30 pm / Tues 5:45 am - 4 pm / Weds 2 pm - 10:30 pm / Fri 5 am - 11 pm / Sun 5:15 pm - 8:15 pm"
1089,The Signature Prime Steak & Seafood,Mon 4:30 pm - 6:45 pm / Tues 11:45 am - 7:30 pm / Weds 10:45 am - 2:15 pm / Thurs - Fri 4:45 pm - 7 pm / Sat 8:15 am - 1:45 pm / Sun 1:30 pm - 9:30 pm
1090,Da Smokehouse,"Mon 8:15 am - 8:15 pm / Tues, Sun 10:30 am - 8 pm / Weds - Thurs 7:15 am - 10:30 am / Fri - Sat 6:45 am - 9:15 am"
1091,Kamuela Provision Co.,"Sun - Mon, Weds 4:30 pm - 10:15 pm / Tues 8:15 am - 5:15 pm / Thurs 4:30 pm - 3:45 am / Fri 2:45 pm - 2:30 am / Sat 10:30 am - 12:15 pm"
1092,Ruth's Chris Steak House - Wailea,Mon 12:45 pm - 10 pm / Tues - Weds 11:15 am - 3:15 am / Thurs 12:45 pm - 12:15 pm / Fri 2 pm - 3:15 am / Sat 11 am - 3 pm / Sun 9:45 am - 10 pm
1093,Taormina Sicilian Cuisine,"Mon, Weds 1:30 pm - 12 pm / Tues 9:45 am - 11:15 am / Thurs 5:15 pm - 6 pm / Fri 4:15 pm - 5:45 pm / Sat 5:45 am - 10:45 am / Sun 1 pm - 2:30 pm"
1094,Original Roy's Hawaii Kai,"Mon 2:45 pm - 1:15 am / Tues - Weds, Sun 5:15 pm - 8 pm / Thurs 11 am - 7:30 pm / Fri 12 pm - 2:15 pm / Sat 2:15 pm - 10 pm"
1095,Longhi's - Lahaina,"Mon - Tues 12:30 pm - 1:15 am / Weds, Fri - Sat 10:30 am - 11:45 pm / Thurs 12:45 pm - 2 am / Sun 11 am - 2:15 pm"
1096,Giovanni Pastrami,"Mon 2:30 pm - 8 pm / Tues 11:45 am - 11 pm / Weds 10 am - 3:45 pm / Thurs 7:45 am - 8:30 am / Fri, Sun 7:45 am - 9 am / Sat 9 am - 12:15 pm"
1097,Gannon's,"Mon - Tues, Thurs 11:45 am - 1:30 pm / Weds, Sat 12 pm - 7:45 pm / Fri 7 am - 9:30 am / Sun 10:15 am - 10:30 pm"
1098,Top of Waikiki,"Mon, Weds 7:15 am - 1:15 pm / Tues 11:15 am - 3:15 am / Thurs - Sat 3:30 pm - 5:30 pm / Sun 8:30 am - 1:15 pm"
1099,Kula Lodge & Restaurant Inc.,"Mon, Thurs - Fri 7:45 am - 10:45 pm / Tues 5:45 am - 9:30 am / Weds 5:15 pm - 2 am / Sat 5:15 pm - 12:30 pm / Sun 11:45 am - 6:15 pm"
1100,DUO - Steak & Seafood,"Mon 3:15 pm - 10:30 pm / Tues 12:30 pm - 7 pm / Weds 7 am - 8:45 pm / Thurs 5 am - 6 am / Fri, Sun 10:15 am - 4:30 pm / Sat 1:45 pm - 12:30 pm"
1101,Jimmy Buffett's Waikiki,"Mon 3:45 pm - 9:45 pm / Tues 8:45 am - 10:45 pm / Weds 5 am - 11:45 pm / Thurs, Sat 5:45 pm - 6:15 pm / Fri 7 am - 8:30 pm / Sun 4 pm - 8:15 pm"
1102,Gyu-Kaku - Kapiolani,"Mon, Sat 9:15 am - 1 pm / Tues 6:15 am - 10:15 pm / Weds 5:45 pm - 12:15 pm / Thurs 8 am - 11:45 am / Fri 4 pm - 2 am / Sun 6 am - 8:45 pm"
1103,BLT Steak - Waikiki,Mon 7:30 am - 7:45 pm / Tues - Weds 12 pm - 9:15 pm / Thurs 9:15 am - 3:30 pm / Fri 11 am - 1:15 am / Sat 7:30 am - 11:30 am / Sun 6 am - 2:45 am
1104,Town,Mon 3:15 pm - 11 pm / Tues 5:45 am - 11:15 pm / Weds 1 pm - 3:15 am / Thurs 9:30 am - 9:30 pm / Fri 12 pm - 10:45 pm / Sat 5:15 pm - 10:30 pm / Sun 5:30 am - 1:30 am
1105,Oasis,"Mon, Weds, Fri 5 am - 3:15 am / Tues 11:30 am - 8:30 pm / Thurs 9 am - 9 pm / Sat 1:15 pm - 7:15 pm / Sun 5:15 am - 7:15 am"
1106,Luau at Royal Kona Resort,Mon - Tues 6:45 am - 9:30 am / Weds 1:30 pm - 5 pm / Thurs 6:45 am - 9:45 am / Fri 11:45 am - 12:30 pm / Sat 2:45 pm - 8 pm / Sun 11 am - 5:45 pm
1107,Legends Terrace Dining Buffet,"Mon, Sat 4:15 pm - 9:30 pm / Tues 12:30 pm - 12:30 pm / Weds, Sun 4:45 pm - 12:15 pm / Thurs 9:45 am - 7:15 pm / Fri 8 am - 10:30 am"
1108,Ruth's Chris Steak House - Waikiki Beach Walk,"Sun - Mon, Weds 5 pm - 10 pm / Tues 10:15 am - 3:15 pm / Thurs 1:45 pm - 3 am / Fri 4 pm - 3:15 am / Sat 7 am - 11:15 am"
1109,Side Street Inn Kapahulu,Mon - Thurs 4:45 pm - 10:30 pm / Fri 1:30 pm - 5:15 pm / Sat 7:15 am - 2 am / Sun 10:15 am - 11 am
1110,Fish Hopper - Kailua-Kona,"Mon, Fri 1:15 pm - 3 pm / Tues 5 am - 8:30 am / Weds, Sat 4:45 pm - 6:45 pm / Thurs 3:15 pm - 3 am / Sun 9 am - 10 am"
1111,To Thai For,"Mon, Weds - Thurs 6:30 am - 10:30 am / Tues 6:45 am - 8:30 am / Fri 6:30 am - 1:30 am / Sat 11:30 am - 10:15 pm / Sun 11 am - 12:30 pm"
1112,Mulligans on the Blue,"Mon - Tues, Sat 1:45 pm - 5:45 pm / Weds 1 pm - 10:30 pm / Thurs 6:15 am - 4:15 pm / Fri 3:30 pm - 11:30 pm / Sun 11:15 am - 7:45 pm"
1113,Wolfgang's Steak House - Waikiki Beach ,Mon - Tues 6 am - 8:15 am / Weds - Thurs 1:15 pm - 4:45 pm / Fri 9 am - 1:15 pm / Sat 10:45 am - 2:30 pm / Sun 5:15 pm - 1 am
1114,Shore Bird Restaurant & Beach Bar,"Mon - Tues 4:15 pm - 7:30 pm / Weds, Fri 7:15 am - 8:15 pm / Thurs 1:30 pm - 4 pm / Sat 12:30 pm - 1:15 am / Sun 4:15 pm - 8:30 pm"
1115,Kimo's Restaurant Maui,"Mon - Tues, Thurs - Fri 4:30 pm - 1:30 am / Weds 6:15 am - 4:45 pm / Sat 6 am - 3:30 am / Sun 11:45 am - 3:15 pm"
1116,Azure - The Royal Hawaiian,"Mon 4 pm - 11 pm / Tues, Fri 7:15 am - 8:45 am / Weds 3 pm - 9:15 pm / Thurs 3:15 pm - 5 pm / Sat 5 pm - 3:30 am / Sun 2 pm - 3:45 am"
1117,Nobu Waikiki,"Mon, Fri 6:30 am - 8:15 am / Tues 9 am - 12 pm / Weds - Thurs 10:30 am - 4:15 pm / Sat 7 am - 10 am / Sun 7:45 am - 12:30 pm"
1118,Chef Mavro,"Mon, Weds 10:30 am - 11:45 pm / Tues 10:30 am - 2:15 am / Thurs, Sat 8:15 am - 1:15 pm / Fri 7:30 am - 10:30 am / Sun 6:45 am - 6:45 pm"
1119,Mauna Kea - Luau,"Mon, Thurs 5:45 am - 10:30 am / Tues 7 am - 7:15 pm / Weds 10:45 am - 2 pm / Fri 3:30 pm - 11:15 pm / Sat 9:45 am - 7:15 pm / Sun 12:15 pm - 1:45 am"
1120,Hawaii Prince - Hakone,"Mon, Thurs 10:45 am - 2:15 pm / Tues - Weds 8:45 am - 9:30 pm / Fri 12:30 pm - 1:45 am / Sat 6:15 am - 9 am / Sun 11:30 am - 12 pm"
1121,Sushi Sasabune Hawaii,Mon - Weds 8:30 am - 6 pm / Thurs 3:45 pm - 9:15 pm / Fri 2:15 pm - 1:15 am / Sat 12 pm - 9:45 pm / Sun 12:30 pm - 11:45 pm
1122,Lava Lava Beach Club,Mon - Tues 5:30 am - 10:15 pm / Weds - Thurs 5:45 pm - 9:15 pm / Fri 4:30 pm - 11:30 pm / Sat 6:15 am - 4:30 pm / Sun 4:15 pm - 5:15 pm
1123,Azul,"Mon 7:30 am - 3 pm / Tues, Fri - Sat 12 pm - 1 am / Weds 8:30 am - 2:45 am / Thurs 4:30 pm - 12:30 pm / Sun 7:15 am - 2:45 pm"
1124,ONE FORTY,Mon 1:45 pm - 3:15 pm / Tues 1:45 pm - 10:45 pm / Weds 10:45 am - 11:30 pm / Thurs 11:15 am - 3:15 pm / Fri 1:45 pm - 2 am / Sat 7:45 am - 7:15 pm / Sun 6 am - 12:15 pm
1125,Hilo Bay Cafe,Mon 11:30 am - 1:30 am / Tues 4:30 pm - 12:45 pm / Weds 5:15 pm - 3:30 am / Thurs 8 am - 8 pm / Fri 12:15 pm - 11:30 pm / Sat 10 am - 4:30 pm / Sun 5:15 pm - 10:45 pm
1126,Grown – A Restaurant for the Community,"Mon 6:45 am - 6 pm / Tues, Fri 8:45 am - 9:30 pm / Weds 10 am - 7:15 pm / Thurs 6:30 am - 5:45 pm / Sat 9 am - 5:15 pm / Sun 1:45 pm - 1:15 am"
1127,DK Steak House,"Mon - Tues, Sat 11:45 am - 1:30 am / Weds - Thurs 5 am - 7:45 am / Fri 12:30 pm - 1:45 am / Sun 10:30 am - 10:30 pm"
1128,Capische,Mon 5:45 pm - 11 pm / Tues - Fri 5:15 pm - 11:15 pm / Sat 10 am - 7:30 pm / Sun 11:45 am - 9 pm
1129,Kona Kai Sushi,"Mon 7:30 am - 8:30 am / Tues, Fri 1:30 pm - 11:30 pm / Weds 4:45 pm - 9:45 pm / Thurs 12:30 pm - 2:30 pm / Sat 7 am - 12:45 pm / Sun 7:15 am - 10 pm"
1130,The Dining Room - Four Seasons Lanai,"Mon 8:15 am - 8:15 pm / Tues 10 am - 3:45 am / Weds, Fri 10 am - 1:30 pm / Thurs 2:45 pm - 11 pm / Sat 11:30 am - 5:15 pm / Sun 5:15 am - 5:15 pm"
1131,Ruth's Chris Steak House - Downtown Honolulu,"Mon 10 am - 1:45 am / Tues 11:30 am - 8:30 pm / Weds 2:15 pm - 7:30 pm / Thurs, Sat 4:45 pm - 2:15 am / Fri 9:15 am - 3 pm / Sun 5:30 am - 3:30 pm"
1132,Roy's Waikiki,"Mon, Weds 5:15 pm - 7:30 pm / Tues 7:45 am - 2:15 am / Thurs 1 pm - 3 pm / Fri 6 am - 7 am / Sat 11:30 am - 4:30 pm / Sun 10 am - 2:30 am"
1133,Beachhouse - Moana Surfrider,"Mon, Sat 4:15 pm - 10:15 pm / Tues 3 pm - 2:30 am / Weds - Thurs 8:30 am - 2:30 pm / Fri 12:30 pm - 1:30 am / Sun 3 pm - 12:45 pm"
1134,Luau - Grand Hyatt,"Mon 12 pm - 2:45 am / Tues, Sat 2:15 pm - 10 pm / Weds 12:45 pm - 1:45 pm / Thurs 9 am - 1 am / Fri, Sun 9:15 am - 2:30 pm"
1135,Star of Honolulu - Five Star,"Mon 10:30 am - 11:30 pm / Tues 10 am - 2:15 pm / Weds 10:15 am - 2:45 pm / Thurs 7 am - 2:30 pm / Fri, Sun 11:15 am - 1:15 am / Sat 11:45 am - 12:45 pm"
1136,Mama's Fish House,"Mon, Fri 3:15 pm - 2:30 am / Tues 11:30 am - 6 pm / Weds - Thurs 9 am - 9:45 pm / Sat 5:15 am - 7 pm / Sun 6:45 am - 5:45 pm"
1137,South Pacific Dinner Theatre,"Sun - Mon 6:45 am - 12 pm / Tues, Thurs 11 am - 12:45 pm / Weds 3:15 pm - 11:45 pm / Fri 9:15 am - 10 am / Sat 10 am - 6:30 pm"
1138,Tahiti Nui - Luau,"Mon, Weds 6:15 am - 12:45 pm / Tues 5 am - 10 am / Thurs 10:15 am - 6:15 pm / Fri - Sat 7:15 am - 7:30 pm / Sun 4 pm - 12 pm"
1139,Sugar Cane Maui,"Sun - Mon, Thurs 10 am - 11 pm / Tues, Fri 4 pm - 7:30 pm / Weds, Sat 1:45 pm - 5:30 pm"
1140,Hapuna - Special Events,"Mon 6:45 am - 3 pm / Tues 10:45 am - 11:30 am / Weds 3 pm - 1:15 am / Thurs, Sat - Sun 12 pm - 1:30 pm / Fri 8:15 am - 9:45 pm"
1141,Michel's at the Colony Surf,Sun - Mon 12 pm - 10 pm / Tues 1:15 pm - 10 pm / Weds 2 pm - 11:30 pm / Thurs 10:30 am - 5:30 pm / Fri 5:30 pm - 7:45 pm / Sat 2:15 pm - 5 pm
1142,Island Breeze Luau at the King Kamehameha Hotel,"Mon, Sat 5:15 pm - 10 pm / Tues, Thurs 10:45 am - 11 am / Weds 2:30 pm - 2:45 am / Fri, Sun 10:45 am - 11 pm"
1143,Alan Wong's Restaurant,Mon 10:15 am - 2:30 am / Tues - Weds 10:15 am - 3:15 am / Thurs 9:30 am - 11:15 pm / Fri 11:30 am - 3 pm / Sat - Sun 10:15 am - 3:30 pm
1144,Star of Honolulu - Premier Whale & Lunch,Mon 5:15 am - 4 pm / Tues 2:30 pm - 9:45 pm / Weds 7 am - 1 pm / Thurs - Fri 11:15 am - 3:45 pm / Sat 2 pm - 12 pm / Sun 11:15 am - 3 pm
1145,Kai Market - Sheraton Waikiki,"Mon, Thurs 8:30 am - 11 pm / Tues, Sat 3:30 pm - 5:15 pm / Weds, Sun 9:15 am - 12:15 pm / Fri 1:45 pm - 2 am"
1146,Aulii Luau,"Mon - Tues, Fri 6:45 am - 9 pm / Weds 6:45 am - 7:45 pm / Thurs 5:15 pm - 2:30 am / Sat 12:15 pm - 3:30 pm / Sun 3:30 pm - 4:15 pm"
1147,Kauai Grill - St. Regis - Hawaii,"Mon 12:45 pm - 10:30 pm / Tues, Sat 12:30 pm - 11:30 pm / Weds 8:30 am - 5:45 pm / Thurs 8:15 am - 10:30 pm / Fri 8:45 am - 11:30 pm / Sun 10:45 am - 3:15 pm"
1148,Alan Wong’s Amasia - Grand Wailea - Waldorf Astoria,"Mon 9 am - 1:15 pm / Tues 5:45 pm - 9 pm / Weds 6:30 am - 3:30 am / Thurs 6:15 am - 1:45 pm / Fri, Sun 5:30 am - 3 am / Sat 5 am - 9:45 am"
1149,Roy's Poipu Bar & Grill,"Mon, Fri - Sat 1 pm - 3:30 pm / Tues 1:15 pm - 1:15 am / Weds 7:45 am - 3 am / Thurs 8 am - 12 pm / Sun 10 am - 8:30 pm"
1150,Norio's - The Fairmont Orchid - Kohala Coast,"Mon 8:15 am - 11:45 am / Tues 4:15 pm - 5:45 pm / Weds, Fri 7:15 am - 2:15 pm / Thurs 5 am - 9:45 am / Sat 3:30 pm - 8:15 pm / Sun 5 pm - 8:45 pm"
1151,Bistro Molokini - Grand Wailea - Waldorf Astoria,Mon 5:15 am - 4:15 pm / Tues 5 am - 11 am / Weds 10 am - 1 pm / Thurs 11:45 am - 12:45 pm / Fri 9:15 am - 1:45 am / Sat 6 am - 10 pm / Sun 3:30 pm - 10:45 pm
1152,Ushio-tei,"Sun - Tues, Thurs - Fri 5:30 pm - 2 am / Weds 3 pm - 11:45 pm / Sat 2:45 pm - 4:15 pm"
1153,Longhi's - Wailea,"Mon, Fri 5:30 pm - 3:15 am / Tues 5 am - 7:45 pm / Weds 9:15 am - 9:45 pm / Thurs 1 pm - 10:45 pm / Sat 2:30 pm - 9:45 pm / Sun 7:45 am - 7:45 pm"
1154,Hiroshi Eurasion Tapas,"Mon, Weds 10:45 am - 1:15 am / Tues, Sun 9 am - 5 pm / Thurs 5:45 pm - 6:30 pm / Fri 5:45 am - 9 am / Sat 5:30 am - 6:30 am"
1155,MALA - Wailea Beach Marriott  Resort,"Mon, Fri 1:45 pm - 1:15 am / Tues 8:15 am - 11:45 am / Weds 8:15 am - 3:15 am / Thurs 4:15 pm - 8:30 pm / Sat 9:45 am - 12:30 pm / Sun 6 am - 11:30 am"
1156,Dazoo,"Mon 9:15 am - 11:15 am / Tues, Thurs 8:45 am - 6:45 pm / Weds 10:30 am - 4 pm / Fri 3:15 pm - 1:15 am / Sat 8 am - 2:15 pm / Sun 8 am - 2:30 pm"
1157,Lahaina Grill,Mon 3:15 pm - 3 am / Tues 5 am - 10:45 am / Weds 10 am - 7 pm / Thurs 10:15 am - 2:15 am / Fri 3:45 pm - 12:30 pm / Sat 3 pm - 10:15 pm / Sun 12 pm - 3:15 am
1158,53 by the Sea,"Mon 12:15 pm - 5:45 pm / Tues 5:45 am - 6:30 pm / Weds, Fri 9:30 am - 2:15 am / Thurs, Sun 11:15 am - 1 am / Sat 4:30 pm - 12 pm"
1159,The Modern Honolulu,Mon 12:15 pm - 10:30 pm / Tues - Weds 7 am - 7 pm / Thurs 9:15 am - 12:15 pm / Fri 11 am - 1:15 pm / Sat 4:30 pm - 10:30 pm / Sun 2:30 pm - 3 am
1160,Hukilau Lanai,Mon - Tues 6 am - 7:45 pm / Weds 7:45 am - 1:15 pm / Thurs 11:30 am - 12:30 pm / Fri 6:30 am - 8 pm / Sat 5:45 pm - 8:30 pm / Sun 1 pm - 1:15 am
1161,Luau - Royal Lahaina Resort,"Mon 8:15 am - 1 pm / Tues, Thurs 1:15 pm - 9:30 pm / Weds 6 am - 10:45 pm / Fri - Sat 10:45 am - 3:45 pm / Sun 10:45 am - 10:15 pm"
1162,La Mer at Halekulani,Mon 7:30 am - 3:45 am / Tues 1:45 pm - 5:30 pm / Weds 12:30 pm - 12:30 pm / Thurs 1:45 pm - 2:30 am / Fri 9:15 am - 1 pm / Sat 4 pm - 2:45 am / Sun 5 pm - 11 pm
1163,Nobu Lanai - Four Seasons Lanai,Mon - Tues 5 am - 3:45 am / Weds - Thurs 5:45 pm - 1 am / Fri 9 am - 6 pm / Sat 5:15 am - 2:30 am / Sun 9:15 am - 2:45 pm
1164,Hapuna-Hakone,Mon 8:45 am - 9:45 am / Tues - Weds 5 am - 2:30 pm / Thurs 11:15 am - 10:45 pm / Fri 10:45 am - 3:15 am / Sat 10 am - 3 pm / Sun 8 am - 3:30 am
1165,Maui Thai Bistro,"Sun - Mon, Thurs 5 pm - 8:15 pm / Tues 10 am - 2:15 pm / Weds 7:45 am - 9:15 pm / Fri 6:45 am - 8:45 pm / Sat 9:45 am - 2 pm"
1166,Gaylord's at Kilohana,"Mon 3 pm - 6:15 pm / Tues 11 am - 1 pm / Weds, Fri 7:45 am - 11:15 am / Thurs 10:45 am - 4 pm / Sat 10 am - 3 am / Sun 7 am - 7:15 pm"
1167,Ka 'Ikena Restaurant at Kapiolani Community College,"Mon, Fri 3 pm - 1 am / Tues, Thurs, Sat 7:15 am - 5:45 pm / Weds 1 pm - 9:45 pm / Sun 8:15 am - 6:30 pm"
1168,Hapuna-Ocean Terrace,"Mon - Tues, Fri - Sat 12:15 pm - 5 pm / Weds 6:15 am - 8:45 pm / Thurs 7 am - 6 pm / Sun 10:15 am - 3 am"
1169,P. F. Chang's - Waikiki,Mon - Tues 5:15 pm - 2:15 am / Weds 7 am - 12:45 pm / Thurs 5:30 pm - 2:30 am / Fri - Sat 4 pm - 1:15 am / Sun 4:45 pm - 1:15 am
1170,Huggo's,"Mon - Tues 10:30 am - 2:30 am / Weds 7:15 am - 8:45 am / Thurs 11:15 am - 4:15 pm / Fri, Sun 6 am - 2:30 am / Sat 3:15 pm - 3 am"
1171,Hula Grill - Waikiki,"Mon, Sat 12:30 pm - 1:15 am / Tues, Thurs 5 pm - 1:30 am / Weds 12 pm - 7:45 pm / Fri 8:45 am - 12:45 pm / Sun 12:45 pm - 1:15 pm"
1172,Sarento's Top of the “I”,"Mon - Tues, Fri 11:45 am - 11:15 pm / Weds 9:15 am - 8:30 pm / Thurs 3:30 pm - 11:30 pm / Sat 8:15 am - 8:30 pm / Sun 2:15 pm - 12 pm"
1173,The Tavern - Kauai,"Mon, Thurs 9:45 am - 1 pm / Tues, Sun 11:15 am - 8:30 pm / Weds 6 am - 3:15 pm / Fri 2:15 pm - 10:30 pm / Sat 12:15 pm - 7:30 pm"
1174,Kan Zaman,"Mon, Thurs 8:30 am - 3:15 am / Tues - Weds 11:45 am - 4:30 pm / Fri 6 am - 3 pm / Sat 3:15 pm - 1:30 am / Sun 7 am - 8 pm"
1175,MATTEO'S OSTERIA,"Mon 8:15 am - 10 am / Tues 10:45 am - 2:30 pm / Weds, Fri 4:45 pm - 12:30 pm / Thurs 2:15 pm - 3 pm / Sat - Sun 1:15 pm - 9:30 pm"
1176,Son'z Steakhouse,Mon 1:15 pm - 6:30 pm / Tues 5 am - 4:45 pm / Weds 10:45 am - 4:30 pm / Thurs 2 pm - 7:30 pm / Fri 5 am - 1:15 am / Sat 8 am - 9:45 am / Sun 5 pm - 6:30 pm
